campaign,seed,sentiment_js_distance_deepseek_minus_qwen,positive_share_deepseek_minus_qwen,neutral_share_deepseek_minus_qwen,negative_share_deepseek_minus_qwen,schema_valid_share_deepseek_minus_qwen,thai_character_ratio_deepseek_minus_qwen,latin_character_ratio_deepseek_minus_qwen,exact_duplicate_share_deepseek_minus_qwen,distinct_char_bigram_deepseek_minus_qwen,narrative_count_deepseek_minus_qwen,narrative_entropy_deepseek_minus_qwen,mean_length_chars_deepseek_minus_qwen,latency_seconds_deepseek_minus_qwen,prompt_tokens_deepseek_minus_qwen,completion_tokens_deepseek_minus_qwen,cost_usd_deepseek_minus_qwen
Parameter Gelato,1,-0.2153047900254934,0.0,-0.33333333333333337,0.3333333333333333,0.0,-0.014212007504690427,0.014212007504690432,0.0,-0.00581846275489728,-1.0,-0.16666666666666696,11.333333333333329,60.06768607899721,-101.0,-14.0,-0.00031257400000000003
Parameter Gelato,2,-0.1287869962708382,0.0,-0.25000000000000006,0.25,0.0,-0.030864197530864224,0.030864197530864196,0.0,0.09387044568897601,0.0,0.0,2.0,-4.651465573995665,-107.0,-190.0,-0.00039787499999999995
Parameter Gelato,3,-0.03929709674819365,0.25,-0.5,0.25,0.0,-0.017216642754662836,0.01721664275466284,0.0,-0.08953023595650489,-2.0,-0.3333333333333335,31.166666666666664,-6.779879838002671,-77.0,86.0,-0.00030644699999999995
Parameter Gelato,4,-0.36980583069381595,-0.08333333333333331,-0.24999999999999994,0.3333333333333333,0.0,-0.011086474501108667,0.0066518847006651885,0.0,-0.004606836763510036,4.0,0.833333333333333,9.0,-8.048478553995665,-74.0,-6.0,-0.000306922
Parameter Gelato,5,-0.28587300720705766,0.0,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.012975646879756497,0.0,0.0,25.166666666666664,1.4565219460055232,-101.0,-104.0,-0.00031818499999999996
Parameter Gelato,6,-0.38302878183957606,-0.16666666666666669,-0.16666666666666669,0.3333333333333333,0.0,0.0,0.0,0.0,0.019574453816934678,0.0,0.0,7.083333333333329,29.5634350659966,-83.0,-221.0,-0.00037587099999999995
Parameter Gelato,7,-0.25482405126066543,-0.08333333333333337,-0.33333333333333337,0.4166666666666667,0.0,0.0331125827814569,-0.033112582781456956,0.0,-0.031334813718233434,-3.0,-0.5000000000000004,-1.75,18.028594294002687,-101.0,-143.0,-0.000364127
Parameter Gelato,8,0.011334137572922842,0.0,-0.16666666666666669,0.16666666666666669,0.0,-0.00366300366300365,0.0,0.0,-0.07920574120547696,0.0,0.0,24.083333333333336,-0.30864840400317917,-97.0,69.0,-0.000284619
Parameter Gelato,9,-0.23204842538022397,-0.08333333333333331,-0.08333333333333331,0.16666666666666666,0.0,-0.012155146661068872,0.012155146661068816,0.0,-0.0950704584386981,-1.0,-0.16666666666666696,18.499999999999993,0.8623141130010481,-106.0,-174.0,-0.000370271
Parameter Gelato,10,-0.10229965866397954,0.08333333333333334,-0.24999999999999994,0.16666666666666666,0.0,0.0,0.0,0.0,0.09522878532385126,0.0,0.0,-0.1666666666666643,64.5799755629996,-113.0,-161.0,-0.000366572
วิ่งแลกแว่น | Top Charoen,1,0.022776942150360746,-0.16666666666666669,-0.08333333333333337,0.25,0.0,0.0,0.0,0.0,0.060413354531001606,0.0,0.0,-15.916666666666671,49.14256335499522,-101.0,-199.0,-0.000379842
วิ่งแลกแว่น | Top Charoen,2,0.16851627409806208,0.0,-0.16666666666666669,0.16666666666666666,0.0,0.0,0.0,0.0,0.014039039039039136,0.0,0.0,-0.3333333333333357,-10.96437371600041,-107.0,-155.0,-0.00037140800000000005
วิ่งแลกแว่น | Top Charoen,3,0.16015018220170002,-0.08333333333333337,-0.25000000000000006,0.3333333333333333,0.0,-0.01795332136445238,0.017953321364452424,0.0,-0.08979588256449395,0.0,0.0,21.666666666666664,-11.559500379989913,-77.0,-44.0,-0.000349695
วิ่งแลกแว่น | Top Charoen,4,0.18241109231568975,0.0,-0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.009898671255138103,-1.0,-0.16666666666666696,3.1666666666666643,0.10802252500434406,-97.0,-75.0,-0.00035160000000000004
วิ่งแลกแว่น | Top Charoen,5,0.052997004078235876,-0.25000000000000006,0.0,0.25,0.0,0.03875968992248058,-0.03875968992248062,0.0,0.05985165722418373,6.0,1.229573958513622,-6.083333333333336,53.975717701003305,-101.0,-182.0,-0.00037629799999999995
