campaign,seed,action_rate_delta,reach_rate_delta,positive_share_delta,neutral_share_delta,negative_share_delta,js_distance_to_calibration_target_delta,sentiment_mean_delta,sentiment_shift_delta,normalized_entropy_delta,polarization_index_delta,cross_sentiment_edge_share_delta,largest_cascade_share_delta,cascade_depth_delta,cascade_breadth_delta,time_to_50pct_delta
วิ่งแลกแว่น | Top Charoen,9,-0.008000000000000007,-0.016000000000000014,0.31478585599253117,-0.27219045396195585,-0.04259540203057533,0.2556178189408466,0.3573812580231065,0.3573812580231065,-0.16354588739470144,-0.034507025210805495,-0.01200000000000001,-0.03557007818882019,0,0,-1
วิ่งแลกแว่น | Top Charoen,10,0.08599999999999997,0.08000000000000002,0.3633529463423202,-0.2385176077983665,-0.12483533854395364,0.16010149961170506,0.48818828488627375,0.48818828488627375,-0.1461285849927756,-0.08206285442774688,-0.02533333333333332,0.022064635110213393,2,0,0
ไทยช่วยไทยพลัส,1,0.05399999999999999,0.03799999999999992,0.1890092879256966,-0.16382868937048506,-0.025180598555211556,0.050367660646882195,0.21418988648090814,0.21418988648090814,-0.17039097926976754,-0.034466649839556704,-0.0513333333333334,-0.022703818369453038,2,0,1
ไทยช่วยไทยพลัส,2,0.07599999999999996,0.068,0.22844318450271678,-0.13176234349161348,-0.09668084101110325,0.06758951589139073,0.32512402551382,0.32512402551382,-0.22202704193970002,-0.12778201088284716,-0.07424749163879601,0.005138199858256559,2,0,0
ไทยช่วยไทยพลัส,3,-0.04199999999999998,-0.04199999999999998,0.13812890416928958,-0.09394218197665971,-0.044186722192629896,0.0984186575875339,0.18231562636191945,0.18231562636191945,-0.1826432280964726,-0.09222980920718286,-0.019410977242302563,-0.008110987361386851,0,0,0
ไทยช่วยไทยพลัส,4,-0.10399999999999998,-0.11599999999999999,0.2710881351658051,-0.20482915143109315,-0.0662589837347119,0.10388614195211576,0.337347118900517,0.337347118900517,-0.2801729292611672,-0.10306638420479523,-0.04466666666666663,0.04104148278905562,-2,0,0
ไทยช่วยไทยพลัส,5,0.11199999999999999,0.1100000000000001,0.18511636869124792,-0.11233604470319447,-0.07278032398805345,0.12600985293272757,0.2578966926793014,0.2578966926793014,-0.23334732601121033,-0.13704973482005378,-0.07548430193720773,-0.015401131343160318,1,0,0
ไทยช่วยไทยพลัส,6,0.043999999999999984,0.04200000000000004,0.2692846369316958,-0.17857142857142855,-0.09071320836026717,0.011046788047223921,0.359997845291963,0.359997845291963,-0.20869713323664207,-0.0756059936447023,-0.06933333333333336,-0.004848093083387184,0,0,1
ไทยช่วยไทยพลัส,7,0.043999999999999984,0.04999999999999999,0.13203060380479725,-0.07795698924731181,-0.05407361455748553,0.09267919757488054,0.18610421836228275,0.18610421836228275,-0.1622087673419954,-0.09787408299074835,-0.0626666666666667,-0.0014991728701406193,2,0,0
ไทยช่วยไทยพลัส,8,0.026000000000000023,0.014000000000000012,0.1408862350722816,-0.12017598994343182,-0.02071024512884978,0.06532951227044564,0.16159648020113138,0.16159648020113138,-0.15178251103749607,-0.026202017871583577,-0.03799999999999998,-0.0014456316781898126,-1,0,-1
ไทยช่วยไทยพลัส,9,0.05599999999999994,0.04400000000000004,0.15127120941074435,-0.11411069550604436,-0.037160513904699946,0.0718900845014894,0.18843172331544433,0.18843172331544433,-0.1663030859616137,-0.07084505228276006,-0.068,-0.00043367485227951974,-1,0,0
ไทยช่วยไทยพลัส,10,-0.016000000000000014,-0.029999999999999916,0.17404143843772324,-0.14735254425656905,-0.026688894181154242,0.09454939161515033,0.20073033261887752,0.20073033261887752,-0.21260767072922826,-0.049654332959704964,-0.05999999999999994,-0.011748829086290408,0,0,0
